"Category","Code","Activities"
"Personal care","01","Sleep, grooming, health self-care"
"Household activities","02","Housework, cooking, home maintenance"
"Caring for HH members","03","Childcare and adult care (within HH)"
"Caring for non-HH members","04","Childcare and elder care (outside HH)"
"Work","05","Paid work and work-related activities"
"Education","06","Classes, homework, research"
"Consumer and services","07-10","Shopping; medical and financial services; household services; government obligations"
"Eating and drinking","11","All meals and drinks"
"Leisure","12-16","Socializing; sports; religious activities; volunteer work; telephone calls"
"Travel","18","Traveling (all modes and purposes)"
