"Code","Activity","N"
"030101","Physical care (bathing, feeding, dressing)",2630
"030102","Reading to / with children",193
"030103","Playing with children (non-sports)",578
"030104","Arts and crafts with children",14
"030105","Playing sports / outdoor activity",35
"030106","Talking with / listening to children",160
"030108","Organization and planning for household children",83
"030110","Attending household children's events",100
"030199","Other care for children",13
"040101","Physical care (bathing, feeding, dressing)",130
"040102","Reading to / with children",15
"040103","Playing with children (non-sports)",110
"040104","Arts and crafts with children",2
"040105","Playing sports / outdoor activity",1
"040106","Talking with / listening to children",32
"040108","Organization and planning for non-HH children",4
"040110","Attending non-HH children's events",31
"040199","Other care for children",6
